angle_deg,density_m3,end_time_s,beam_count_initial,beam_count_final,survival_fraction,background_retention,energy_initial_eV,energy_final_eV,energy_ratio,pitch_mean_initial,pitch_mean_final,pitch_std_initial,pitch_std_final
30,1e+16,4.4e-05,1000,998,0.998,1.0,5.630570741080865,5.2898483696143535,0.9394870631887123,0.8641357612191672,0.7107559061165126,0.02115749853828004,0.16414143646548388
35,1e+16,4.4e-05,1000,999,0.999,1.0,5.630570741080865,5.2753640592660505,0.9369146223093846,0.8173224154388065,0.6417169830385956,0.024224024759656723,0.18352362539303085
40,1e+16,4.4e-05,1000,998,0.998,1.0,5.630570741080861,5.304655411634623,0.9421168218226356,0.7642887525641893,0.5685725006556163,0.027117982222154637,0.201688176894223
60,1e+16,4.4e-05,1000,996,0.996,1.0,5.630570741080865,5.299409497831874,0.9411851376215159,0.49866655982517627,0.2916282187651507,0.036499519512427754,0.26394100702687573
