case,angle_deg,collision_model,beam_particles,diagnostic_final_time_us,final_beam_count,final_survival_fraction,final_confined_energy_fraction,final_accounted_beam_energy_fraction,final_survivor_mean_energy_eV,final_pitch_variance,final_midplane_loss_cone_fraction,final_velocity_anisotropy,time_to_90pct_survival_us,time_to_75pct_survival_us,time_to_50pct_survival_us,loss_events_recorded
campaign_angle_015_collisional,15,hybrid,5000,299.2,238,0.0476,0.026433257671907608,0.8635093710483788,3.126771576081062,0.17800606890153142,0.22268907563025211,1.1338755410913552,66.0,79.2,92.4,4762
campaign_angle_015_collisionless,15,none,5000,299.2,0,0.0,0.0,1.0000000009175691,,,,,61.60000000000001,74.8,83.6,5000
campaign_angle_025_collisional,25,hybrid,5000,299.2,1002,0.2004,0.11730744636083465,0.8081433415571104,3.2959474761740344,0.20914175162910734,0.13872255489021956,0.8526613394707294,74.8,92.4,110.0,3998
campaign_angle_025_collisionless,25,none,5000,299.2,25,0.005,0.005000000007400254,1.000000000887969,5.630570741188556,0.10489586102654004,0.04,1.3140862503277426,74.8,88.0,101.2,4975
campaign_angle_030_collisional,30,hybrid,5000,299.2,1673,0.3346,0.19633818935998204,0.7704592434254562,3.303933241936829,0.22105850274879826,0.1177525403466826,0.7361572784137657,83.6,101.2,136.4,3327
campaign_angle_030_collisionless,30,none,5000,299.2,416,0.0832,0.08320000005180177,1.0000000008213827,5.630570736360718,0.09301066075013095,0.09134615384615384,1.1423663672875541,83.6,105.60000000000001,123.20000000000002,4584
campaign_angle_035_collisional,35,hybrid,5000,299.2,2531,0.5062,0.3002235579597664,0.7173241067588709,3.339450768000524,0.2433380378571105,0.10825760568945081,0.715426193315481,96.80000000000001,123.20000000000002,,2469
campaign_angle_035_collisionless,35,none,5000,299.2,2492,0.4984,0.49840000040701393,1.000000000925048,5.630570737453182,0.10729743500616516,0.014044943820224719,0.6145812281738862,105.60000000000001,140.8,281.6,2508
campaign_angle_040_collisional,40,hybrid,5000,299.2,3311,0.6622,0.41004633162586046,0.6917371600143131,3.4865522107628153,0.25849738237041353,0.09694956206584114,0.6751768584178265,114.4,167.2,,1689
campaign_angle_040_collisionless,40,none,5000,299.2,4215,0.843,0.8430000008140277,1.0000000009546335,5.630570738292086,0.12483553288662526,0.004033214709371293,0.2856529876694043,154.0,,,785
campaign_angle_050_collisional,50,hybrid,5000,299.2,4300,0.86,0.5287885629229314,0.6409407649294289,3.462071402630612,0.2415906648175418,0.06534883720930233,0.6115918848829861,255.20000000000002,,,700
campaign_angle_050_collisionless,50,none,5000,299.2,4908,0.9816,0.9816000008954306,1.0000000009102312,5.63057073799132,0.09028365818700149,0.0018337408312958435,0.7679169258883082,,,,92
campaign_angle_060_collisional,60,hybrid,5000,299.2,4687,0.9374,0.5759199585763407,0.6245493172174558,3.4593109272744007,0.20414075111523472,0.050565393641988476,0.5127927533933563,,,,313
campaign_angle_060_collisionless,60,none,5000,299.2,4951,0.9902,0.9902000009694332,1.0000000009990342,5.630570738367511,0.0344874461598628,0.00020197939810139365,0.6006461038198747,,,,49
campaign_angle_075_collisional,75,hybrid,5000,299.2,4819,0.9638,0.586866415055579,0.6142525297378264,3.428504732006115,0.17255065169932027,0.046482672753683334,0.3693494828858192,,,,181
campaign_angle_075_collisionless,75,none,5000,299.2,4947,0.9894,0.9894000008732299,1.0000000008880303,5.630570737824486,0.02531961499467327,0.00020214271275520516,0.14747187945629842,,,,53
