angle_deg,control_survival,hybrid_survival,collision_associated_loss_fraction,control_energy_ratio,hybrid_energy_ratio,collision_associated_energy_loss_fraction,control_pitch_mean_final,hybrid_pitch_mean_final,collision_associated_pitch_mean_shift,control_pitch_std_final,hybrid_pitch_std_final,collision_associated_pitch_variance
30,0.997,0.998,-0.0010000000000000009,0.9999999999999999,0.9394870631887123,0.060512936811287554,0.7395312697872611,0.7107559061165126,-0.02877536367074851,0.09313063671015848,0.16414143646548388,0.01826909567091296
35,0.999,0.999,0.0,0.9999999999999992,0.9369146223093846,0.06308537769061462,0.6641714926763451,0.6417169830385956,-0.02245450963774953,0.11618617637686995,0.18352362539303085,0.020181693496324385
40,0.999,0.998,0.0010000000000000009,1.0,0.9421168218226356,0.057883178177364436,0.5866417741046296,0.5685725006556163,-0.018069273449013323,0.13993456210710686,0.201688176894223,0.02109643902680764
60,0.997,0.996,0.0010000000000000009,0.9999999999999997,0.9411851376215159,0.05881486237848377,0.2997051435614436,0.2916282187651507,-0.008076924796292906,0.22413978682479352,0.26394100702687573,0.01942621115249738
