angle_deg,is_above_theoretical_loss_cone,collisionless_survival,collisional_survival,collision_associated_survival_change,collisionless_confined_energy_fraction,collisional_confined_energy_fraction,collision_associated_confined_energy_change,collisionless_pitch_variance,collisional_pitch_variance,collision_associated_pitch_variance
15,False,0.0,0.0476,0.0476,0.0,0.026433257671907608,0.026433257671907608,,0.17800606890153142,
25,False,0.005,0.2004,0.1954,0.005000000007400254,0.11730744636083465,0.1123074463534344,0.10489586102654004,0.20914175162910734,0.1042458906025673
30,False,0.0832,0.3346,0.2514,0.08320000005180177,0.19633818935998204,0.11313818930818027,0.09301066075013095,0.22105850274879826,0.1280478419986673
35,True,0.4984,0.5062,0.007799999999999974,0.49840000040701393,0.3002235579597664,-0.19817644244724753,0.10729743500616516,0.2433380378571105,0.13604060285094532
40,True,0.843,0.6622,-0.18079999999999996,0.8430000008140277,0.41004633162586046,-0.43295366918816724,0.12483553288662526,0.25849738237041353,0.1336618494837883
50,True,0.9816,0.86,-0.12160000000000004,0.9816000008954306,0.5287885629229314,-0.45281143797249923,0.09028365818700149,0.2415906648175418,0.1513070066305403
60,True,0.9902,0.9374,-0.05279999999999996,0.9902000009694332,0.5759199585763407,-0.41428004239309246,0.0344874461598628,0.20414075111523472,0.16965330495537193
75,True,0.9894,0.9638,-0.025599999999999956,0.9894000008732299,0.586866415055579,-0.40253358581765086,0.02531961499467327,0.17255065169932027,0.147231036704647
